"ID";"NOM_CURT_ACTE";"NOM_ACTE";"ID_EQUIPAMENT";"SIGLA";"CARRER";"NRO";"CODI_POSTAL";"ESTAT";"PREU"
286;"Vintagefest";"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ";7633;"AV   ";"RIUS I TAULET";120;8173;1;10
288;"Vintagefest";"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ";7633;"AV   ";"RIUS I TAULET";120;8173;1;20
289;"Vintagefest";"<p>M&eacute,s de 150 parades per trobar objectes &uacute,nics (mobles, llibres, discs, curiositats, antiguitats i articles de segona m&agrave,)<br /> &nbsp,</p> ";7633;"AV   ";"RIUS I TAULET";120;8173;1;30
704;"Conferència.";"<p>A c&agrave,rrec de Miquel Puig, exprofessor titular de Teoria Econ&ograve,mica de la UB. Dins el cicle &quot,Vers un pa&iacute,s normal&quot,.</p> ";2875;"AV   ";"PLA DEL VINYET";81;8172;1;0
905;"Teatre: Los hijos de Kennedy ";"<p>De Robert Patrick. Espectacle en castell&agrave,. Direcci&oacute,: Josep Maria Pou. Int&egrave,rprets: Fernando Cayo, Alex Garc&iacute,a, Ariadna Gil, Emma Su&aacute,rez, Maribel Verd&uacute, L&#39,obra posa sobre l&#39,escenari cinc arquetips de la s";1439;"PL   ";"VICTORIA DELS ANGELS";1;8172;1;0
906;"Teatre.  Iaia!!! ";"<p>De Roger Pe&ntilde,a.&nbsp,Autor i director: Roger Pe&ntilde,a. Int&egrave,rprets: Montserrat Carulla, Vicky Luengo, Aleix Pe&ntilde,a Miralles. Per si sola ja tindria ganxo, la hist&ograve,ria d&#39,una iaia perepunyetes que boicoteja la vida sentimen";1439;"PL   ";"VICTORIA DELS ANGELS";1;8172;1;26
908;"Màgia. Els Amics del Mag Lari 3";"<p>A la Sala Escenari. Espectacle + sopar: Intermedi amb un refrigeri al vest&iacute,bul. M&agrave,gia de prop. Per compartir uns moments de proximitat i molt m&agrave,gics a l&#39,escenari del Teatre-Auditori en companyia del Mag Lari (m&eacute,s a prop ";1439;"PL   ";"VICTORIA DELS ANGELS";1;8172;1;5
909;"Màgia. Els Amics del Mag Lari 3";"<p>M&agrave,gia de gran format. Per gaudir d&rsquo,un espectacle de gran format en qu&egrave, el Mag Lari, en companyia dels seus amics convidats, ens far&agrave, passar una vetllada molt m&agrave,gica i molt divertida.</p>  <p><strong>Amics convidats: ";1439;"PL   ";"VICTORIA DELS ANGELS";1;8172;1;12
